personId,playerName,team,games,minutes,minutes_method,FGA,poss_used,game_score,gs_rate,rate_unit,replacement_rate,prod_score,eligible,production_tier
1643457,Key,TOR,22,201.5,reconstructed,36,52.8,33.5,6.651,per40min,9.207,-12.88,FALSE,below threshold
1641651,Horston,SEA,21,383.2,reconstructed,105,139.8,75.2,7.849,per40min,9.207,-13.01,TRUE,fringe
1643450,Harmon,WAS,10,67.5,reconstructed,10,23.8,2.5,1.482,per40min,9.207,-13.03,FALSE,below threshold
1642804,Paopao,ATL,24,301.2,reconstructed,93,112.5,54.2,7.199,per40min,9.207,-15.12,FALSE,below threshold
1629576,Conde,TOR,24,632.1,reconstructed,191,241.2,130.2,8.239,per40min,9.207,-15.3,TRUE,fringe
1631086,Hull,IND,24,485.6,reconstructed,119,148,96,7.908,per40min,9.207,-15.77,TRUE,fringe
1630461,Williams,LAS,16,211.6,reconstructed,65,82.1,32.8,6.201,per40min,9.207,-15.9,FALSE,below threshold
1629488,Turner,LVA,21,219.3,reconstructed,19,28.9,34.4,6.275,per40min,9.207,-16.07,FALSE,below threshold
202252,Clark,DAL,16,145.9,reconstructed,29,40.4,17.4,4.771,per40min,9.207,-16.18,FALSE,below threshold
1629501,Smith,DAL,20,283.7,reconstructed,78,106.2,49.1,6.924,per40min,9.207,-16.19,FALSE,below threshold
1642809,Rivers,CON,21,475.5,reconstructed,157,208.7,93.2,7.84,per40min,9.207,-16.25,TRUE,fringe
1643647,Pouye,TOR,16,163.1,reconstructed,49,66.6,21.3,5.223,per40min,9.207,-16.25,FALSE,below threshold
1643462,Gray,LAS,20,199.4,reconstructed,43,59.3,29.3,5.878,per40min,9.207,-16.6,FALSE,below threshold
204296,Allen,NYL,9,90.5,reconstructed,21,29.6,2.3,1.017,per40min,9.207,-18.53,FALSE,below threshold
1641649,Miller,CON,24,526.7,reconstructed,189,248.7,101.1,7.677,per40min,9.207,-20.15,TRUE,fringe
1643644,Florez,WAS,14,261.7,reconstructed,77,113.4,39,5.962,per40min,9.207,-21.23,FALSE,below threshold
1643430,McMahon,WAS,21,422.9,reconstructed,119,166.7,75.3,7.122,per40min,9.207,-22.05,TRUE,fringe
203828,Dolson,SEA,26,466.5,reconstructed,73,109.4,82.9,7.108,per40min,9.207,-24.49,FALSE,below threshold
204319,Loyd,LVA,22,610.3,reconstructed,166,197.8,116,7.603,per40min,9.207,-24.49,TRUE,fringe
203855,Talbot,LVA,24,457.3,reconstructed,78,103.6,80,6.997,per40min,9.207,-25.27,FALSE,below threshold
204335,Laney-Hamilton,NYL,17,285.4,reconstructed,69,106.4,39.8,5.578,per40min,9.207,-25.89,FALSE,below threshold
1631006,Bell,LVA,19,213.1,reconstructed,59,68.9,23.1,4.336,per40min,9.207,-25.95,FALSE,below threshold
1630143,Geiselsoder,PDX,19,333,reconstructed,98,121.6,49.6,5.958,per40min,9.207,-27.05,FALSE,below threshold
1627671,Banham,CHI,21,294.8,reconstructed,92,116,37.7,5.115,per40min,9.207,-30.16,FALSE,below threshold
1642296,Puoch,PDX,24,407,reconstructed,98,118.2,37.3,3.666,per40min,9.207,-56.39,FALSE,below threshold
1643467,Prosper,WAS,19,256.7,reconstructed,69,90.1,0.9,0.14,per40min,9.207,-58.18,FALSE,below threshold
1642781,Amoore,WAS,23,523.7,reconstructed,131,197.8,60.1,4.591,per40min,9.207,-60.44,TRUE,fringe
