season,group_id,group_name,group_abbreviation,group_short_name,team_id,team_uid,team_slug,team_location,team_name,team_abbreviation,team_display_name,team_short_display_name,team_color,team_alternate_color,team_logo,stat_name,stat_display_name,stat_short_display_name,stat_description,stat_abbreviation,stat_type,display_value,value
2026,1,Eastern Conference,E,NA,16,s:40~l:59~t:16,NA,Washington,Mystics,WSH,Washington Mystics,Mystics,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,wins,Wins,W,Wins,W,wins,24,24
2026,1,Eastern Conference,E,NA,16,s:40~l:59~t:16,NA,Washington,Mystics,WSH,Washington Mystics,Mystics,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,gamesAhead,Games Ahead,GA,Games Ahead,GA,gamesahead,-,0
2026,1,Eastern Conference,E,NA,16,s:40~l:59~t:16,NA,Washington,Mystics,WSH,Washington Mystics,Mystics,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,overall,Overall,OVER,Overall Record,Total,total,24-16,NA
2026,1,Eastern Conference,E,NA,16,s:40~l:59~t:16,NA,Washington,Mystics,WSH,Washington Mystics,Mystics,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,Home,Home,HOME,Home Record,NA,home,13-7,NA
2026,1,Eastern Conference,E,NA,16,s:40~l:59~t:16,NA,Washington,Mystics,WSH,Washington Mystics,Mystics,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,Road,Road,AWAY,Away Record,NA,road,11-9,NA
2026,1,Eastern Conference,E,NA,16,s:40~l:59~t:16,NA,Washington,Mystics,WSH,Washington Mystics,Mystics,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,vs. Div.,DIV,DIV,Division Record,NA,vsdiv,0-0,NA
2026,1,Eastern Conference,E,NA,16,s:40~l:59~t:16,NA,Washington,Mystics,WSH,Washington Mystics,Mystics,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,vs. Conf.,CONF,CONF,Conference Record,NA,vsconf,11-5,NA
2026,1,Eastern Conference,E,NA,16,s:40~l:59~t:16,NA,Washington,Mystics,WSH,Washington Mystics,Mystics,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,Last Ten Games,Last Ten Games,L10,Record last 10 games,Last Ten,lasttengames,6-4,NA
2026,1,Eastern Conference,E,NA,19,s:40~l:59~t:19,NA,Chicago,Sky,CHI,Chicago Sky,Sky,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,avgPointsAgainst,Opponent Points Per Game,OPP PPG,Opponent Points Per Game,OPP PPG,avgpointsagainst,89.7,89.675
2026,1,Eastern Conference,E,NA,19,s:40~l:59~t:19,NA,Chicago,Sky,CHI,Chicago Sky,Sky,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,avgPointsFor,Points Per Game,PPG,Points Per Game,PPG,avgpointsfor,86.7,86.675
2026,1,Eastern Conference,E,NA,19,s:40~l:59~t:19,NA,Chicago,Sky,CHI,Chicago Sky,Sky,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,clincher,Clincher,CLINCH,Eliminated From Playoffs,CLINCH,clincher,e,4
2026,1,Eastern Conference,E,NA,19,s:40~l:59~t:19,NA,Chicago,Sky,CHI,Chicago Sky,Sky,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,differential,Average Point Differential,DIFF,Average Point Differential,DIFF,differential,-3.0,-3
2026,1,Eastern Conference,E,NA,19,s:40~l:59~t:19,NA,Chicago,Sky,CHI,Chicago Sky,Sky,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,divisionWinPercent,Division Win Percentage,DPCT,Division Winning Percentage,DPCT,divisionwinpercent,0.000,0
